Date,Actual,LSTM_Predicted,ARIMA_Predicted
2024-07-30,418.2306213378906,417.4895,394.04660045255144
2024-07-31,413.7112731933594,415.16617,394.20985129692434
2024-08-01,412.4849548339844,412.80408,394.37310214129724
2024-08-02,403.9605102539063,410.5798,394.53635298567013
2024-08-05,390.7684631347656,407.8157,394.69960383004303
2024-08-06,395.1790161132813,403.79248,394.8628546744159
2024-08-07,394.0121154785156,399.99597,395.0261055187888
2024-08-08,398.2248840332031,396.5144,395.1893563631617
2024-08-12,402.2991943359375,392.54297,395.5158580519075
2024-08-13,409.4194030761719,391.9313,395.6791088962804
2024-08-14,412.2377624511719,392.57367,395.8423597406533
2024-08-15,417.1119689941406,394.101,396.0056105850262
2024-08-16,414.5757751464844,396.46445,396.1688614293991
2024-08-19,417.6072998046875,398.7873,396.332112273772
2024-08-20,420.846923828125,401.1906,396.4953631181449
2024-08-22,411.6829833984375,405.89304,396.8218648068907
2024-08-26,409.6421508789063,407.2281,397.1483664956365
2024-08-27,409.9888610839844,406.8466,397.3116173400094
2024-08-28,406.7790222167969,406.13184,397.4748681843823
2024-08-29,409.2755737304688,404.96155,397.63811902875517
2024-08-30,413.2582092285156,403.9215,397.80136987312807
2024-09-03,405.6298522949219,403.42374,397.96462071750096
2024-09-06,397.9618835449219,400.3681,398.45437325061965
2024-09-09,401.9444580078125,398.73413,398.61762409499255
2024-09-10,410.3455505371094,397.39743,398.78087493936545
2024-09-11,419.103271484375,397.14737,398.94412578373834
2024-09-12,423.02642822265625,398.3459,399.10737662811124
2024-09-16,427.3260498046875,403.5615,399.43387831685703
2024-09-17,431.1005554199219,406.7088,399.59712916122993
2024-09-18,426.8009338378906,410.02344,399.7603800056028
2024-09-19,434.6076354980469,412.63318,399.9236308499757
2024-09-20,431.2194519042969,415.40414,400.0868816943486
2024-09-23,429.475830078125,417.55652,400.2501325387215
2024-09-24,425.17626953125,419.00192,400.4133833830944
2024-09-27,424.0368957519531,419.55478,400.9031359162131
2024-09-30,426.2956848144531,418.9606,401.066386760586
2024-10-01,416.775146484375,418.40695,401.2296376049589
2024-10-02,413.2482604980469,416.9495,401.3928884493318
2024-10-03,412.6637573242188,414.87033,401.5561392937047
2024-10-04,412.188232421875,412.60355,401.7193901380776
2024-10-08,410.8507690429688,407.81833,402.0458918268234
2024-10-09,413.5751953,405.84656,402.2091426711963
2024-10-10,411.9702758789063,404.6342,402.3723935155692
2024-10-14,415.2395935058594,403.35663,402.69889520431497
2024-10-15,414.84326171875,403.44992,402.86214604868786
2024-10-16,412.2476806640625,403.7844,403.02539689306076
2024-10-18,414.2687072753906,404.15775,403.35189858180655
2024-10-21,414.8829345703125,404.443,403.51514942617945
2024-10-22,423.5317077636719,404.80612,403.67840027055234
2024-10-24,420.7775573730469,407.2689,404.00490195929814
2024-10-25,424.1657104492188,408.43866,404.16815280367103
2024-10-28,422.6202087402344,409.79047,404.33140364804393
2024-10-30,428.50494384765625,412.36136,404.6579053367897
2024-10-31,402.5686340332031,413.83524,404.8211561811626
2024-11-04,404.6589050292969,410.56696,405.1476578699084
2024-11-05,407.6310424804688,408.0236,405.3109087142813
2024-11-07,421.4710388183594,404.6383,405.6374104030271
2024-11-08,418.6079406738281,404.77896,405.8006612474
2024-11-11,414.1201172,405.30695,405.9639120917729
2024-11-12,419.0933837890625,405.60858,406.1271629361458
2024-11-13,421.2431945800781,406.29434,406.2904137805187
2024-11-15,411.13812255859375,408.52103,406.6169154692645
2024-11-20,411.6235656738281,407.6414,407.1066680023832
2024-11-21,409.8466491699219,406.89868,407.26991884675607
2024-11-22,413.9463806152344,405.9357,407.43316969112897
2024-11-27,419.89251708984375,406.20264,407.92292222424766
2024-11-29,420.359130859375,407.18878,408.08617306862055
2024-12-02,427.8240356445313,408.18707,408.24942391299345
2024-12-04,434.21685791015625,411.63025,408.57592560173924
2024-12-06,440.3218078613281,416.83487,408.90242729048504
2024-12-09,442.7538757324219,419.77356,409.06567813485793
2024-12-10,440.0835876464844,422.70105,409.22892897923083
2024-12-12,446.2679748535156,427.38315,409.5554306679766
2024-12-13,443.9947204589844,429.4937,409.7186815123495
2024-12-16,448.2831115722656,431.02148,409.8819323567224
2024-12-17,451.132080078125,432.51697,410.0451832010953
2024-12-18,434.1870727539063,434.0756,410.2084340454682
2024-12-19,433.8297424316406,433.77454,410.3716848898411
2024-12-20,433.4028625488281,432.5986,410.534935734214
2024-12-23,432.0627746582031,430.96814,410.6981865785869
2024-12-24,436.1128845214844,429.0988,410.8614374229598
2024-12-26,434.90179443359375,427.6963,411.0246882673327
2024-12-30,421.7190551757813,424.89902,411.3511899560785
2025-01-03,420.2499084472656,417.2084,411.8409424891972
2025-01-06,424.7169799804688,415.00504,412.0041933335701
2025-01-08,421.4510192871094,412.67166,412.33069502231587
2025-01-10,415.8821411132813,412.02496,412.49394586668876
2025-01-13,414.1350402832031,411.13095,412.65719671106166
2025-01-16,421.4708862304688,408.80096,413.14694924418035
2025-01-22,442.9326172,411.15506,413.63670177729904
2025-01-24,440.8082580566406,417.5728,413.96320346604483
2025-01-27,431.3778381347656,420.839,414.1264543104177
2025-01-29,439.0909118652344,424.96982,414.4529559991635
2025-01-30,411.95111083984375,426.55936,414.6162068435364
2025-02-04,409.3502807617188,417.98996,415.1059593766551
2025-02-05,410.2635803222656,414.0386,415.269210221028
2025-02-06,412.7750244140625,410.5419,415.4324610654009
2025-02-07,406.7494812011719,407.89548,415.5957119097738
2025-02-10,409.2013854980469,405.38672,415.7589627541467
2025-02-11,408.4271240234375,403.52533,415.9222135985196
2025-02-12,406.0447082519531,402.1197,416.0854644428925
2025-02-13,407.5337219238281,400.8972,416.2487152872654
2025-02-14,405.4391479492188,400.078,416.4119661316383
2025-02-18,406.6403198242188,399.35034,416.5752169760112
2025-02-19,411.7327575683594,398.89185,416.7384678203841
2025-02-20,413.9110412597656,399.12683,416.90171866475697
2025-02-21,406.0332946777344,399.909,417.06496950912987
2025-02-24,401.8457336425781,400.13513,417.22822035350276
2025-02-25,395.77825927734375,399.6856,417.39147119787566
2025-02-27,390.4368896484375,396.77646,417.71797288662145
2025-02-28,394.87310791015625,394.54633,417.88122373099435
2025-03-03,386.4184265136719,392.6415,418.04447457536725
2025-03-04,386.5377807617188,390.2211,418.20772541974014
2025-03-05,398.881591796875,387.83817,418.37097626411304
2025-03-07,391.2127380371094,386.4046,418.69747795285883
2025-03-11,378.42132568359375,384.19073,419.0239796416046
2025-03-12,381.2262878417969,382.10052,419.1872304859775
2025-03-14,386.4880676269531,378.22147,419.5137321747233
2025-03-17,386.6273498535156,377.30728,419.6769830190962
2025-03-18,381.4749450683594,377.04602,419.8402338634691
2025-03-19,385.75201416015625,376.70026,420.003484707842
2025-03-20,384.7772521972656,376.81335,420.1667355522149
2025-03-24,390.9839477539063,377.7622,420.4932372409607
2025-03-25,393.0528869628906,378.83563,420.6564880853336
2025-03-26,387.89056396484375,380.20325,420.8197389297065
2025-03-27,388.4972839355469,381.08276,420.9829897740794
2025-03-28,376.7800903320313,381.702,421.1462406184523
2025-03-31,373.3883056640625,380.9384,421.3094914628252
2025-04-01,380.1520385742188,379.21768,421.4727423071981
2025-04-02,380.1023254394531,377.78076,421.635993151571
2025-04-03,371.1204223632813,376.5674,421.79924399594387
2025-04-04,357.92120361328125,374.72968,421.96249484031677
2025-04-07,355.9517822265625,371.50302,422.12574568468966
2025-04-09,388.4077758789063,363.5956,422.45224737343545
2025-04-10,379.3164978027344,363.20877,422.61549821780835
2025-04-11,386.378662109375,363.84085,422.77874906218125
2025-04-16,369.62841796875,370.68866,423.26850159529994
2025-04-21,357.2050781,370.7507,423.59500328404573
2025-04-23,372.3936462402344,366.57257,423.9215049727915
2025-04-24,385.2347412109375,365.45493,424.0847558171644
2025-04-25,389.7605285644531,366.1742,424.2480066615373
2025-04-29,391.9388427734375,370.84122,424.5745083502831
2025-04-30,393.1523438,373.78458,424.737759194656
2025-05-01,423.1316223144531,376.7423,424.9010100390289
2025-05-02,432.95892333984375,382.37958,425.0642608834018
2025-05-05,433.8442077636719,389.73596,425.2275117277747
2025-05-06,430.99945068359375,397.40128,425.3907625721476
2025-05-07,431.0392456054688,404.20282,425.5540134165205
2025-05-08,435.8335876464844,409.8508,425.7172642608934
2025-05-09,436.3905334472656,414.73148,425.8805151052663
2025-05-12,446.8644104003906,418.67014,426.0437659496392
2025-05-13,446.74505615234375,422.71393,426.2070167940121
2025-05-14,450.5247802734375,426.27933,426.370267638385
2025-05-16,452.6772155761719,432.51205,426.69676932713077
2025-05-19,457.2610473632813,434.9957,426.86002017150366
2025-05-20,456.56353759765625,437.43494,427.02327101587656
2025-05-21,450.983154296875,439.47888,427.18652186024946
2025-05-23,448.6015625,441.223,427.51302354899525
2025-05-27,459.0746765136719,441.11334,427.67627439336815
2025-05-28,455.7563781738281,441.6734,427.83952523774104
2025-05-29,457.0717468261719,442.09576,428.00277608211394
2025-06-04,462.2435302734375,444.93954,428.6557794596055
2025-06-05,466.0401611328125,445.90067,428.8190303039784
2025-06-06,468.730712890625,447.17352,428.9822811483513
2025-06-09,471.0924072265625,448.72766,429.1455319927242
2025-06-10,469.2688293457031,450.50134,429.3087828370971
2025-06-11,470.9628601074219,452.01398,429.47203368147
2025-06-12,477.1909484863281,453.42303,429.6352845258429
2025-06-16,477.46002197265625,456.63123,429.9617862145887
2025-06-17,476.3638610839844,458.12057,430.1250370589616
2025-06-20,475.7261047363281,460.53314,430.4515387477074
2025-06-23,484.2959289550781,461.2621,430.6147895920803
2025-06-24,488.3915100097656,462.56403,430.7780404364532
2025-06-25,490.5439453,464.36505,430.9412912808261
2025-06-26,495.705810546875,466.4494,431.104542125199
2025-06-30,495.66595458984375,471.32532,431.43104381394477
2025-07-01,490.3247375488281,473.4756,431.59429465831766
2025-07-02,489.36810302734375,474.7327,431.75754550269056
2025-07-07,495.974853515625,476.26047,432.08404719143635
2025-07-08,494.8786926269531,477.07617,432.24729803580925
2025-07-09,501.74456787109375,477.65195,432.41054888018215
2025-07-10,499.7216797,478.7493,432.57379972455504
2025-07-15,504.0464477539063,481.68842,433.06355225767373
2025-07-16,503.8471374511719,482.72876,433.22680310204663
2025-07-17,509.9058532714844,483.67548,433.3900539464195
2025-07-18,508.2616271972656,485.10007,433.5533047907924
2025-07-21,508.2715759277344,486.39966,433.7165556351653
2025-07-22,503.4983825683594,487.52856,433.8798064795382
2025-07-23,504.0962829589844,487.95273,434.0430573239111
2025-07-24,509.0887145996094,488.05777,434.206308168284
2025-07-28,510.7030334472656,489.2145,434.5328098570298
2025-07-29,510.7727966308594,489.932,434.6960607014027
2025-07-31,531.62939453125,491.2093,435.0225623901485
2025-08-01,522.2723388671875,493.81216,435.1858132345214
2025-08-04,533.7619018554688,496.0323,435.3490640788943
2025-08-05,525.8995361328125,499.15717,435.5123149232672
2025-08-06,523.0994262695312,501.49002,435.6755657676401
2025-08-07,519.0138549804688,502.97107,435.838816612013
2025-08-08,520.2095947265625,503.41983,436.0020674563859
2025-08-11,519.9405517578125,503.40533,436.16531830075877
2025-08-12,527.3843383789062,503.06854,436.32856914513167
2025-08-13,518.7547607421875,503.3486,436.49181998950456
2025-08-14,520.6480102539062,502.95163,436.65507083387746
2025-08-15,518.3461303710938,502.54544,436.81832167825036
2025-08-18,515.286865234375,501.89975,436.98157252262325
2025-08-19,507.9826049804688,500.9053,437.14482336699615
2025-08-20,503.9468078613281,499.10605,437.30807421136905
2025-08-21,503.2980041503906,496.72052,437.47132505574194
2025-08-22,506.2824401855469,494.223,437.63457590011484
2025-08-25,503.3179931640625,492.22195,437.79782674448774
2025-08-26,501.1021423339844,490.36203,437.96107758886063
2025-08-28,508.68792724609375,487.58136,438.2875792776064
2025-08-29,505.7434387207031,487.32745,438.4508301219793
2025-09-03,504.4059448242188,487.0661,438.7773318107251
2025-09-04,507.0210571289063,486.97388,438.940582655098
2025-09-05,494.0752868652344,487.18088,439.1038334994709
2025-09-08,497.2693176269531,486.1743,439.2670843438438
2025-09-09,497.4789123535156,485.08917,439.4303351882167
2025-09-10,499.4352416992188,484.02258,439.5935860325896
2025-09-11,500.0740661621094,483.2715,439.7568368769625
2025-09-12,508.9474487304688,482.8158,439.9200877213354
2025-09-15,514.397216796875,483.47977,440.0833385657083
2025-09-16,508.0890502929688,485.15753,440.2465894100812
2025-09-17,509.0671997070313,486.53934,440.4098402544541
2025-09-18,507.5001525878906,487.81207,440.573091098827
2025-09-19,516.96240234375,488.70837,440.7363419431999
2025-09-22,513.4889526367188,490.28787,440.8995927875728
2025-09-24,509.1969604492188,492.14777,441.22609447631856
2025-09-25,506.0827941894531,492.36774,441.38934532069146
2025-09-26,510.5045166015625,492.03156,441.55259616506436
2025-09-29,513.6386108398438,491.906,441.71584700943725
2025-09-30,516.9824219,492.1639,441.87909785381015
2025-10-01,518.7391357421875,492.9192,442.04234869818305
2025-10-02,514.7765502929688,494.02173,442.20559954255594
2025-10-03,516.3834838867188,494.78568,442.36885038692884
2025-10-06,527.5825805664062,495.50516,442.53210123130174
2025-10-07,523.0010986328125,497.24747,442.69535207567463
2025-10-08,523.8695068359375,498.76254,442.85860292004753
2025-10-09,521.4241333007812,500.16592,443.0218537644204
2025-10-10,510.0054626464844,501.09146,443.1851046087933
2025-10-13,513.0896606445312,500.50867,443.3483554531662
2025-10-14,512.610595703125,499.60345,443.5116062975391
